TitleID,Region,Title versions,Update versions
0004013000001B03,KOR,v0,4.0.0-7
0004013000001B03,EUR,v0,2.0.0-2 Initial scan
0004013000001B03,TWN,v0,4.1.0-8
0004013000001C02,CHN,v5120 v6145 v7168 v8196 v10240 v11264 v12294,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage2) 9.3.0-21 (stage4) 9.6.0-24
0004013000001C02,USA,v2049 v3075 v5120 v6145 v7168 v8196 v10240 v11264 v12294,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
0004013000001C02,JPN,v2049 v3075 v5120 v6145 v7168 v8196 v10240 v11264 v12294,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
0004013000001C02,KOR,v5120 v6145 v7168 v8196 v10240 v11264 v12294,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 9.3.0-21 (stage2) 9.6.0-24
0004013000001C02,EUR,v2049 v3075 v5120 v6145 v7168 v8196 v10240 v11264 v12294,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24
0004013000001C02,TWN,v5120 v6145 v7168 v8196 v10240 v11264 v12294,4.1.0-8 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage4) 9.3.0-21 (stage5) 9.6.0-24
0004013000001C03,CHN,v0,4.0.0-7
0004013000001C03,USA,v0,2.0.0-2 Initial scan
0004013000001C03,JPN,v0,2.0.0-2 Initial scan
0004013000001C03,KOR,v0,4.0.0-7
0004013000001C03,EUR,v0,2.0.0-2 Initial scan
0004013000001C03,TWN,v0,4.1.0-8
0004013000001D02,CHN,v4096 v5121 v6148 v7168 v9216 v10240,4.0.0-7 5.0.0-11 7.2.0-17 8.0.0-18 9.0.0-20 (stage2) 9.3.0-21 (stage4)
0004013000001D02,USA,v1025 v3072 v4096 v5121 v6148 v7168 v9216 v10240,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3)
0004013000001D02,JPN,v1025 v3072 v4096 v5121 v6148 v7168 v9216 v10240,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3)
0004013000001D02,KOR,v4096 v5121 v6148 v7168 v9216 v10240,4.0.0-7 5.0.0-11 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage2)
0004013000001D02,EUR,v1025 v3072 v4096 v5121 v6148 v7168 v9216 v10240,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 7.2.0-17 8.0.0-18 9.0.0-20 (stage3) 9.3.0-21 (stage2)
